episode,episode_durations_dqn_aux,episode_durations_dqn_rnd
1183,131,94
1184,199,160
1185,156,150
1186,88,157
1187,171,155
1188,95,153
1189,97,153
1190,92,91
1191,166,153
1192,102,149
1193,157,155
1194,108,106
1195,158,155
1196,92,157
1197,191,166
1198,98,165
1199,109,150
1200,157,166
1201,186,155
1202,193,151
1203,198,158
1204,91,153
1205,148,158
1206,91,156
1207,155,93
1208,157,151
1209,158,98
1210,101,159
1211,161,148
1212,157,156
1213,152,157
1214,155,99
1215,171,156
1216,158,164
1217,97,144
1218,142,153
1219,92,114
1220,159,171
1221,170,153
1222,154,152
1223,147,150
1224,86,153
1225,95,151
1226,110,151
1227,168,165
1228,101,94
1229,115,152
1230,157,155
1231,154,200
1232,153,200
1233,176,163
1234,96,154
1235,89,155
1236,154,153
1237,83,166
1238,143,156
1239,197,200
1240,87,162
1241,143,98
1242,99,154
1243,88,193
1244,158,154
1245,194,152
1246,182,151
1247,161,157
1248,98,152
1249,151,163
1250,151,163
1251,164,156
1252,117,158
1253,163,154
1254,149,166
1255,151,114
1256,162,157
1257,157,163
1258,200,166
1259,86,152
1260,158,200
1261,154,86
1262,157,161
1263,154,200
1264,154,159
1265,153,200
1266,151,151
1267,182,155
1268,148,149
1269,184,153
1270,150,152
1271,111,159
1272,160,148
1273,162,151
1274,179,169
1275,89,151
1276,156,156
1277,85,153
1278,159,100
1279,184,177
1280,156,157
1281,190,151
1282,200,154
1283,129,155
1284,94,156
1285,164,162
1286,176,94
1287,162,89
1288,197,155
1289,147,162
1290,200,144
1291,93,153
1292,184,105
1293,103,150
1294,200,172
1295,98,103
1296,160,117
1297,154,160
1298,93,123
1299,154,171
1300,159,153
1301,159,169
1302,169,149
1303,152,148
1304,92,159
1305,154,152
1306,159,147
1307,121,158
1308,171,159
1309,92,148
1310,171,161
1311,173,162
1312,98,158
1313,196,176
1314,164,153
1315,168,98
1316,158,157
1317,171,112
1318,161,109
1319,162,156
1320,154,151
1321,88,92
1322,106,161
1323,189,87
1324,170,162
1325,154,181
1326,154,92
1327,97,168
1328,167,87
1329,103,200
1330,87,151
1331,160,120
1332,159,151
1333,85,99
1334,90,158
1335,157,167
1336,90,200
1337,157,153
1338,182,153
1339,157,95
1340,164,200
1341,162,169
1342,114,155
1343,160,158
1344,87,107
1345,90,87
1346,164,149
1347,162,90
1348,162,152
1349,109,94
1350,90,161
1351,168,200
1352,95,156
1353,169,151
1354,152,151
1355,162,155
1356,151,149
1357,157,152
1358,161,153
1359,159,153
1360,150,88
1361,154,101
1362,194,150
1363,191,104
1364,151,157
1365,200,155
1366,93,112
1367,158,156
1368,167,165
1369,197,147
1370,189,150
1371,158,98
1372,93,152
1373,150,153
1374,154,152
1375,95,152
1376,158,99
1377,163,104
1378,181,153
1379,158,145
1380,179,148
1381,164,107
1382,90,158
1383,128,147
1384,168,165
1385,87,200
1386,164,163
1387,189,154
1388,164,153
1389,160,161
1390,159,166
1391,160,177
1392,160,100
1393,153,88
1394,162,152
1395,178,153
1396,159,154
1397,165,155
1398,158,157
1399,130,149
1400,90,101
1401,93,151
1402,166,150
1403,95,148
1404,164,150
1405,163,158
1406,150,150
1407,131,153
1408,163,178
1409,172,156
1410,165,155
1411,159,200
1412,165,159
1413,161,148
1414,160,89
1415,95,162
1416,163,155
1417,158,151
1418,162,175
1419,162,152
1420,159,160
1421,157,148
1422,93,151
1423,159,153
1424,165,153
1425,86,158
1426,164,181
1427,162,151
1428,157,200
1429,155,152
1430,166,152
1431,155,96
1432,90,84
1433,99,89
1434,112,154
1435,153,154
1436,160,152
1437,157,105
1438,112,163
1439,103,168
